[all run data],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Average
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,2.184275184,2.120656371,2.206509717,2.213021492,2.206800186,2.178349165,2.204258804,2.11873567,2.228527841,2.177886978,2.178148457,2.17051201,2.254266751,2.162249405,2.218289086,2.134821738,2.149337411,2.181150959,2.193611794,2.147978642,2.176517067,2.150959133,2.138448707,2.209386852,2.21015561,2.070506286,2.204336947,2.179164726,2.173886043,2.11023751,2.175099551
,2.174063708,2.190451613,2.296212973,2.185393995,2.289463817,2.236571429,2.194188991,2.201099863,2.196564385,2.175450481,2.252843395,2.225971754,2.290322581,2.198187392,2.201492537,2.193876169,2.246064516,2.246193548,2.187052342,2.121392765,2.149007064,2.166349206,2.197482297,2.227904537,2.288754921,2.154340414,2.180303441,2.203809524,2.277930517,2.174706823,2.210781567
,2.250819846,2.299670363,2.266700925,2.243576567,2.241827991,2.243679342,2.274111146,2.186078494,2.1887076,2.179174382,2.185594676,2.202136662,2.255259768,2.212207765,2.225642653,2.227995643,2.232941923,2.217035125,2.251485768,2.177114641,2.203091456,2.182879783,2.199441821,2.24095739,2.251485768,2.196737147,2.18677848,2.200196057,2.272623019,2.277134814,2.225769567
,2.284158243,2.252438479,2.198912199,2.266339869,2.238218094,2.261759395,2.190642522,2.230220158,2.21596327,2.223067287,2.29383438,2.268317853,2.258431927,2.217366999,2.257924945,2.250226737,2.225601255,2.264612396,2.230266643,2.252265598,2.27612257,2.206711409,2.25320486,2.270897833,2.224787472,2.245786034,2.186965714,2.192287044,2.33183223,2.308909529,2.245935765
,2.38200707,2.315224535,2.22389566,2.247973713,2.251040526,2.267179926,2.323425438,2.24331116,2.226126467,2.306102082,2.249118233,2.258278623,2.275583483,2.319313618,2.330777656,2.275867105,2.250164294,2.280759401,2.223130841,2.282952168,2.353706927,2.250292056,2.225191676,2.268273092,2.303564584,2.23256663,2.249488753,2.232463644,2.314684798,2.300122646,2.27541956
,2.41577655,2.3510335,2.255584416,2.283284163,2.254849036,2.319459791,2.302762431,2.318260974,2.299285414,2.301534684,2.219411991,2.284978972,2.326132837,2.363001639,2.384775936,2.264711484,2.279453755,2.270424681,2.249827381,2.299565487,2.379128059,2.257581338,2.291682185,2.294045427,2.358357919,2.254438237,2.272774495,2.269522036,2.29782827,2.361665958,2.302704635
,2.354436528,2.287443828,2.265797767,2.327253503,2.241974254,2.317155289,2.301612477,2.310827413,2.249324883,2.348894472,2.240797461,2.277587865,2.326001128,2.306277841,2.369653714,2.277650524,2.315653165,2.268552,2.312856107,2.30457309,2.340050249,2.294775163,2.262251727,2.281561869,2.326996789,2.266385343,2.286399206,2.221828211,2.300626079,2.39350461,2.299290085
,2.334101282,2.291128338,2.238476327,2.329302861,2.299095607,2.312782355,2.309890012,2.290465535,2.270633145,2.258058747,2.270357712,2.310024144,2.276287764,2.33120882,2.351235137,2.323988735,2.293800184,2.309225124,2.295500978,2.248120301,2.308672028,2.30005216,2.322222222,2.303348392,2.333244752,2.294979352,2.349206349,2.260887061,2.261777696,2.367657192,2.301524344
,2.332427504,2.315802873,2.254739513,2.299732218,2.321925712,2.341602048,2.349489418,2.286007215,2.285940147,2.299685332,2.284108601,2.319719232,2.342451548,2.311601295,2.352104193,2.339116203,2.283615203,2.307215436,2.297531272,2.29657035,2.330031914,2.346420654,2.36626618,2.284211725,2.28145708,2.341146693,2.361379995,2.27660308,2.323979311,2.353215216,2.316203239
,2.311943338,2.3078125,2.230144404,2.348507976,2.331387866,2.385011373,2.367478056,2.290655637,2.358750117,2.28716299,2.331687169,2.291329657,2.323695789,2.283495445,2.381341912,2.327856095,2.277358949,2.266018218,2.283310174,2.305613368,2.256845633,2.356251856,2.292883184,2.290069714,2.321247393,2.36002775,2.30347383,2.285355392,2.353338598,2.3266327,2.314556236
,2.310152621,2.293096179,2.323080834,2.347178444,2.324321557,2.360819501,2.365719406,2.319815668,2.293792056,2.289394291,2.343467209,2.347260625,2.277141213,2.269450832,2.313682814,2.304917356,2.316718041,2.288493696,2.281730435,2.260825917,2.308446909,2.365837155,2.31312253,2.329052887,2.334331797,2.390583785,2.355072464,2.27288653,2.369407256,2.318356375,2.319605213
