[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,22.81632653,22.99319728,22.93877551,22.69387755,22.82993197,23.00680272,22.95238095,22.85714286,23.00680272,23.06122449,22.70748299,23.02040816,22.58503401,22.72108844,23.2244898,23.07482993,22.88435374,23.40136054,22.93877551,23.03401361,22.88435374,23.27891156,22.74829932,22.82993197,22.65306122,22.99319728,23.03401361,22.84353741,22.89795918,22.72108844,22.92108844
,23.91304348,24.14906832,24.0621118,23.92546584,24.0621118,23.96273292,24.14906832,23.92546584,24.03726708,24.14906832,23.71428571,23.90062112,23.51552795,23.8136646,24.28571429,24.01242236,24.08695652,24.33540373,24.0621118,23.95031056,24.11180124,24.1242236,24.03726708,23.96273292,23.72670807,24.22360248,23.82608696,24.01242236,23.88819876,23.80124224,23.99089027
,25.06285714,25.22285714,25.18857143,25.30285714,25.38285714,25.45142857,25.16571429,25.34857143,25.37142857,25.14285714,24.86857143,25.17714286,24.86857143,25.06285714,25.45142857,25.2,25.30285714,25.42857143,25.32571429,25.15428571,25.24571429,25.26857143,25.25714286,25.24571429,25.14285714,25.22285714,25.05142857,25.37142857,25.10857143,25.06285714,25.2152381
,25.95767196,26.22222222,26.17989418,26.23280423,26.38095238,26.25396825,26.23280423,26.22222222,26.26455026,26.30687831,25.92592593,26.04232804,25.94708995,25.88359788,26.34920635,26.22222222,26.4021164,26.42328042,26.2962963,26.13756614,26.22222222,26.13756614,26.37037037,26.14814815,26.28571429,26.19047619,25.93650794,26.07407407,26.03174603,26.08465608,26.17883598
,27.24137931,27.56650246,27.36945813,27.62561576,27.45812808,27.61576355,27.30049261,27.38916256,27.37931034,27.36945813,27.38916256,27.31034483,27.30049261,27.14285714,27.51724138,27.37931034,27.53694581,27.56650246,27.51724138,27.36945813,27.14285714,27.54679803,27.30049261,27.43842365,27.42857143,27.41871921,27.07389163,27.45812808,27.24137931,27.44827586,27.39474548
,28.51785714,29.04464286,28.83035714,28.78571429,28.71428571,28.9375,28.84821429,28.89285714,28.6875,28.82142857,28.83928571,28.90178571,28.71428571,28.58928571,28.91964286,28.85714286,28.91964286,29.03571429,28.91071429,28.875,28.66071429,28.95535714,28.875,28.97321429,28.82142857,28.91071429,28.61607143,28.76785714,28.69642857,28.74107143,28.82202381
,29.77959184,30.22857143,30.04897959,30.24489796,30.13061224,30.25306122,30.16326531,30.23673469,29.96734694,30.06530612,29.91020408,30.07346939,29.91020408,29.83673469,30.16326531,30.15510204,30.22040816,30.01632653,30.12244898,30.04081633,29.91836735,30.26938776,30.17959184,30.07346939,30.17959184,30.19591837,30.04081633,29.90204082,29.99183673,30.11428571,30.08108844
,32.06766917,32.37593985,32.37593985,32.83458647,32.42857143,32.54135338,32.27067669,32.60150376,32.33082707,32.12030075,32.38345865,32.03759398,32.17293233,32.18045113,32.41353383,32.28571429,32.44360902,32.57142857,32.12781955,32.28571429,32.35338346,32.60902256,32.42105263,32.2556391,32.45864662,32.57894737,32.19548872,32.14285714,32.21804511,32.48120301,32.35213033
,33.70034843,34.18815331,33.82578397,34.51567944,34.13937282,34.00696864,34,34.22299652,34.06968641,33.91637631,34.05574913,33.89547038,33.67944251,33.93031359,34.20209059,34.06968641,34.13937282,33.94425087,33.79790941,33.92334495,33.90243902,34.30662021,34.13240418,33.728223,34.21602787,34.09756098,33.8466899,33.70731707,33.85365854,34.21602787,34.00766551
,36.78571429,37.12337662,36.79220779,37.34415584,36.77922078,36.83766234,36.62337662,37.14285714,37.00649351,36.73376623,36.87662338,36.44805195,36.51948052,36.7987013,37.06493506,36.96753247,36.98701299,36.7987013,36.55194805,36.80519481,36.66233766,36.92857143,37.07142857,36.31818182,36.98051948,36.81818182,36.7987013,36.74025974,36.52597403,37.17532468,36.83354978
