[all run data],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Average
,2.183093873,2.213544216,2.206690517,2.190347078,2.167189233,2.206360424,2.186727264,2.200138078,2.189544598,2.183439779,2.181627876,2.191936942,2.198694935,2.18396886,2.190143532,2.186694678,2.172641687,2.196770555,2.194670143,2.207763761,2.189196679,2.175021965,2.195929859,2.199981171,2.184733732,2.182935848,2.181077813,2.181311353,2.183403602,2.204359111,2.190331305
,2.179327798,2.169653329,2.180279846,2.178554923,2.154902405,2.16954562,2.181963995,2.172806372,2.182657353,2.168404113,2.164670179,2.191788739,2.156373488,2.168234631,2.181407182,2.179944648,2.182416761,2.168627772,2.171638982,2.170717072,2.169632614,2.179227014,2.172518822,2.165826632,2.167615444,2.17061888,2.15283783,2.180252571,2.183180872,2.171758524,2.172912814
,2.160477565,2.160854589,2.16649497,2.155775513,2.160258797,2.153086018,2.165183392,2.155427295,2.159789509,2.152285889,2.146241061,2.151626696,2.146550922,2.154966487,2.159826633,2.168064606,2.153719791,2.16219067,2.144597272,2.14843366,2.150916259,2.156355487,2.156056127,2.145313795,2.147288117,2.158805732,2.148742472,2.159016012,2.161413145,2.161704858,2.155715445
,2.136201722,2.142322143,2.13919595,2.140168364,2.13797147,2.136913229,2.149008704,2.145325596,2.135239362,2.137058244,2.133059317,2.141439286,2.144736368,2.134430314,2.136189702,2.148960348,2.126454707,2.146312258,2.140723727,2.126982592,2.143017418,2.135989358,2.13160864,2.140855484,2.141322509,2.141087709,2.137920672,2.135611677,2.148434714,2.145488518,2.139334337
,2.11803091,2.114137014,2.12150403,2.113814925,2.117583926,2.118646866,2.118144636,2.111968324,2.122881429,2.11912142,2.11220693,2.120065806,2.115001037,2.116792309,2.113101688,2.120555098,2.128132965,2.121044502,2.12498323,2.119462131,2.119165623,2.107433604,2.114923381,2.104197717,2.111733077,2.123982209,2.113897918,2.115692648,2.123334947,2.11833442,2.117329157
,2.105346952,2.104388141,2.096360051,2.101573231,2.100866968,2.0967636,2.106825317,2.093697713,2.104200065,2.10567315,2.099774654,2.101806657,2.106355476,2.106211825,2.099656388,2.105731154,2.099696845,2.099773202,2.110475235,2.101850608,2.110278824,2.101208761,2.097292222,2.102528279,2.10207001,2.101632679,2.102887177,2.102605897,2.099116273,2.102856665,2.102316801
,2.088649262,2.084771953,2.072820142,2.077154131,2.084126727,2.076545248,2.085071335,2.076734926,2.081851431,2.078077598,2.079024352,2.077760293,2.083532164,2.07743579,2.074397523,2.073561017,2.083941409,2.080322557,2.081887466,2.078183676,2.08263646,2.073730892,2.068475905,2.07645404,2.077519619,2.0739191,2.084278585,2.077885108,2.08339575,2.078775665,2.079097337
,2.063476194,2.071321692,2.067731165,2.067332526,2.070103578,2.06686198,2.072767016,2.067023137,2.071368039,2.070838938,2.065828495,2.065549904,2.071758138,2.06948838,2.065677966,2.064624261,2.063001076,2.06455012,2.066695812,2.064595104,2.068735988,2.067265268,2.057082324,2.06808358,2.062037037,2.065064615,2.072186351,2.064745314,2.070859116,2.064637701,2.067043027
,2.040050136,2.047380029,2.044665326,2.045980167,2.048735278,2.042331497,2.042613266,2.045100611,2.04546011,2.047074941,2.045430962,2.041999203,2.042444205,2.040617561,2.044964584,2.038586877,2.041138349,2.04356934,2.039401094,2.040296927,2.041353918,2.042815363,2.0402328,2.040530115,2.044074581,2.040881841,2.045429145,2.045854587,2.041960339,2.044346635,2.043177326
,2.032726974,2.033457224,2.030799784,2.028397481,2.034575263,2.031937705,2.039898537,2.030186772,2.03376779,2.040747978,2.036071017,2.0330644,2.032777336,2.032485236,2.033937343,2.029920126,2.031656842,2.033103011,2.030844524,2.030589942,2.034056533,2.03299725,2.027709229,2.033034182,2.035676385,2.031875854,2.034360384,2.03398099,2.026245371,2.029827795,2.032690309
