[all run data],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Average
,2.195247525,2.237303958,2.249190939,2.215115172,2.143063286,2.146573481,2.224908425,2.222920236,2.160357212,2.193942924,2.185148515,2.256805635,2.246165793,2.21530554,2.192124542,2.249653534,2.225781402,2.143232323,2.235674852,2.15007215,2.178023685,2.148910891,2.220345564,2.218015919,2.275392084,2.259299191,2.24253174,2.220064725,2.176767677,2.207310109,2.207841634
,2.192003793,2.207174463,2.186117468,2.190964136,2.222305501,2.176015168,2.161840412,2.201737452,2.212967201,2.147256347,2.206060606,2.239248564,2.275862069,2.183822388,2.178032037,2.245303524,2.248874398,2.227762586,2.251411137,2.172317772,2.239130435,2.097513666,2.206800186,2.226295828,2.264225782,2.202848576,2.191740413,2.24107946,2.29265642,2.228985507,2.210611776
,2.214984127,2.260516129,2.303347035,2.241650794,2.242974806,2.238857143,2.152238421,2.211353475,2.200974878,2.226596675,2.212553305,2.214940008,2.280714911,2.274483268,2.207619048,2.179904051,2.234193548,2.277587302,2.284641473,2.154958678,2.248687828,2.206023454,2.22184127,2.242002953,2.220774194,2.180566483,2.208507937,2.140495868,2.302802624,2.311531008,2.22994409
,2.245288754,2.374303259,2.250658561,2.205010893,2.245795339,2.276089159,2.248834853,2.252468871,2.217426545,2.220554985,2.260765301,2.20429555,2.283687943,2.210996917,2.234121274,2.339702551,2.17856765,2.264572094,2.273871354,2.224951187,2.192319898,2.294869043,2.259609455,2.197609225,2.14158788,2.233448024,2.195127187,2.160239651,2.246528818,2.326602974,2.24199684
,2.22586267,2.347950351,2.211636942,2.243151315,2.246108866,2.205721349,2.225949808,2.245914029,2.250122489,2.241572067,2.206085011,2.214413038,2.312274822,2.225601255,2.242472406,2.282064341,2.223168215,2.292139663,2.312609971,2.240971302,2.235789836,2.294470293,2.249448311,2.261456954,2.254471964,2.238410596,2.276143791,2.270800168,2.273236567,2.335129838,2.256171608
,2.265896778,2.26718794,2.254034319,2.288700394,2.273034658,2.289012337,2.274990873,2.298503103,2.25463359,2.344189842,2.237166889,2.259914066,2.265754206,2.240576497,2.247718091,2.277754297,2.228011826,2.237405107,2.363452837,2.26311233,2.22754491,2.334460411,2.220737495,2.260072705,2.311848408,2.265863454,2.218551367,2.325352597,2.251624681,2.264389579,2.270383186
,2.201206985,2.237243948,2.246492862,2.290085058,2.278489466,2.259633086,2.287110679,2.254670347,2.227142857,2.324739104,2.279450472,2.256770552,2.269708256,2.253205535,2.320503376,2.302592435,2.255679702,2.247662338,2.289011664,2.282013505,2.307151865,2.29159812,2.213075506,2.266748896,2.309694477,2.236067031,2.259607121,2.299608963,2.319917744,2.308410068,2.272509734
,2.266772403,2.281363307,2.251129726,2.309178494,2.278982721,2.282502849,2.285064763,2.303799415,2.274681446,2.291779011,2.294209054,2.292269428,2.26916019,2.344435633,2.347372051,2.308505128,2.285011895,2.275282447,2.311041077,2.305048903,2.250915751,2.27421527,2.202865803,2.288005854,2.308142546,2.310177108,2.24826857,2.324180286,2.267533409,2.348764022,2.289355285
,2.237734146,2.28080852,2.255730235,2.314202975,2.233413057,2.323103673,2.262822216,2.286415997,2.284155618,2.326624647,2.286894153,2.287806998,2.257913139,2.268689196,2.300977088,2.29817375,2.301238861,2.347198456,2.255451713,2.253683982,2.293352108,2.334464413,2.234105338,2.277872845,2.294858296,2.272782084,2.264929139,2.321950571,2.301314844,2.363399261,2.287402244
,2.293364681,2.293019332,2.313847818,2.37016377,2.298341147,2.319781163,2.297731005,2.280069555,2.324190178,2.361425966,2.324469028,2.314295147,2.308946578,2.269421007,2.363441389,2.328827862,2.31876873,2.354980486,2.297981451,2.355578215,2.29885184,2.30540417,2.265140677,2.293821068,2.376182272,2.264617416,2.316598727,2.35759229,2.282427608,2.34205581,2.31637788
,2.323216905,2.3313124,2.301756906,2.346936929,2.323982747,2.270032422,2.292543259,2.287603872,2.358687259,2.34592362,2.336681447,2.287412226,2.264106315,2.268315047,2.297898413,2.312959559,2.350643382,2.323520541,2.308251773,2.303381293,2.265397749,2.313439434,2.239987649,2.326415697,2.289335847,2.3053419,2.322229206,2.342138862,2.277450146,2.301058728,2.307265384
,2.299502334,2.370434783,2.272068511,2.317247382,2.322658003,2.301249253,2.322890075,2.316205534,2.304955329,2.314458111,2.324449565,2.306963847,2.288063241,2.375457459,2.310320285,2.295270235,2.348628253,2.284308124,2.322883931,2.306780725,2.327117367,2.284623914,2.276062137,2.327651421,2.321377555,2.258076416,2.32718894,2.30903112,2.320967742,2.300989533,2.311929371
,2.259410563,2.299544342,2.271323397,2.282889273,2.292687163,2.282215887,2.263159076,2.33578126,2.314692594,2.252923616,2.285730212,2.24586597,2.283220427,2.317829798,2.288682171,2.307922791,2.321997214,2.281271173,2.311184939,2.295005574,2.254443426,2.266688963,2.290143965,2.27338098,2.305313313,2.255183946,2.28597794,2.314648829,2.307806945,2.298365272,2.288176367
,2.274366335,2.293903134,2.26173993,2.272877493,2.300967118,2.273784732,2.270493026,2.27652949,2.311309215,2.304480763,2.272668566,2.279462221,2.257769181,2.334138973,2.287210473,2.289453809,2.276319018,2.302297904,2.307746155,2.287943262,2.277077619,2.290477426,2.302489634,2.27657237,2.29075543,2.287778083,2.319259018,2.313231894,2.296085475,2.332519266,2.290723567
,2.289554318,2.29798288,2.28116587,2.289720357,2.271991943,2.274111512,2.303156917,2.311680517,2.268457564,2.276694522,2.271378499,2.265754075,2.296873326,2.281119189,2.292494584,2.259607291,2.260767273,2.283441659,2.288421514,2.254882102,2.245074566,2.26628904,2.296104947,2.254508545,2.292961516,2.27335084,2.295871524,2.295187249,2.297922438,2.285190344,2.280723897
