[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,50.26128266,50.12826603,50.09976247,50.304038,49.79572447,49.93349169,50.00475059,49.79097387,50.14251781,49.98574822,49.74346793,49.77672209,49.80522565,49.90023753,49.98574822,50.26128266,49.8432304,49.82422803,49.79097387,49.85273159,49.76247031,39.34153846,50.26128266,50.1567696,49.88598575,50.26603325,50.01900238,49.98574822,49.67695962,50.24703088,49.62777416
,54.40789474,54.62719298,54.14912281,54.52631579,54.21929825,54.17105263,54.39473684,54.12719298,54.38157895,54.19736842,53.9254386,54.39912281,54.32017544,54.28070175,54.28947368,54.45614035,53.90350877,54.1754386,54.10964912,54.30701754,54.03947368,41.78223496,54.53070175,54.4122807,54.22368421,54.3245614,54.31140351,54.35087719,54,54.54385965,53.8629166
,58.56211813,58.91649695,58.61099796,58.83910387,58.67617108,58.69246436,58.70875764,58.52138493,58.70875764,58.50101833,58.32586558,58.87576375,58.62321792,58.67209776,58.72505092,58.86354379,58.35845214,58.63136456,58.49287169,58.56619145,58.58248473,44.9919571,58.93279022,58.62729124,58.52138493,58.9287169,58.79022403,58.83910387,58.62321792,59.0305499,58.22464704
,63.85171103,64.4904943,64.17490494,64.44106464,64.01140684,64.26235741,64.18631179,64.08365019,64.04562738,63.88973384,63.90114068,64.3878327,64.01901141,64.23954373,64.23574144,64.20152091,63.96958175,64.21292776,64.05703422,63.8973384,64.09505703,48.19143577,64.45247148,64.19011407,64.23193916,64.36121673,64.4486692,64.35741445,64.17110266,64.27756654,63.64453075
,69.34507042,70.04577465,69.88028169,70,69.6056338,69.69366197,69.94014085,69.69014085,69.6443662,69.3556338,69.44366197,70.03521127,69.60211268,69.80633803,69.75,69.8943662,69.63028169,69.53521127,69.66197183,69.63028169,69.86971831,51.88123515,69.92253521,69.98943662,70.12676056,69.76408451,70.19366197,70.13732394,69.72183099,70.0528169,69.19498483
,75.67540984,76.03278689,75.98360656,76.25245902,75.84590164,76.10491803,76.3147541,76.14754098,76.09508197,75.7442623,75.65245902,76.30819672,75.82622951,76.17377049,76.09508197,76.16065574,75.97704918,75.90491803,75.99344262,75.98032787,76.16721311,55.75609756,76.3442623,76.30819672,76.46557377,76.03278689,76.39344262,76.62622951,76.12786885,76.12131148,75.42039451
,82.676783,83.19878604,83.28983308,83.14719272,83.23520486,83.08952959,83.69347496,83.24734446,83.14415781,82.92564492,82.8861912,83.37177542,82.96813354,83.02276176,83.46585736,83.28376328,83.16843703,82.83763278,83.15933232,83.17147193,83.14112291,59.77130977,83.43854325,83.36874052,83.45978756,83.05614568,83.42640364,83.54172989,83.20789074,83.26251897,82.4219167
,90.51129944,90.69774011,90.98870056,90.74293785,90.61581921,90.91242938,91.14689266,91.04519774,90.85875706,90.49717514,90.65254237,90.88135593,90.57909605,90.46327684,91.05932203,90.98305085,90.45762712,90.51412429,90.48587571,90.83333333,90.80225989,64.51663405,91.1440678,91.05367232,91.02542373,90.75988701,90.83050847,91.13841808,90.67231638,90.65254237,89.91740946
,99.47382199,99.82198953,99.86125654,99.7513089,99.52617801,99.95811518,99.96335079,99.70157068,100.0026178,99.42146597,99.68324607,99.64659686,99.54188482,99.40052356,99.85340314,99.7565445,99.72513089,99.46073298,99.63612565,99.69371728,99.62565445,69.46252285,99.95287958,99.89267016,99.90314136,99.52617801,99.58115183,100.2068063,99.67277487,99.4921466,98.7065169
,108.3585366,108.502439,108.6780488,108.6121951,108.7121951,108.8170732,109.0146341,108.7365854,108.797561,108.595122,108.8463415,108.6268293,108.5853659,108.3926829,108.7512195,108.8780488,108.8219512,108.5707317,108.5634146,108.6804878,108.5268293,75.24185249,108.8682927,108.7512195,108.7585366,108.3439024,108.7292683,108.9097561,108.8341463,108.2487805,107.5584683
,119.7893545,119.4677237,119.9093998,119.8459796,120.0362401,120.2378256,120.1087203,119.8346546,119.98188,119.6240091,119.8527746,119.7100793,119.7576444,119.5220838,119.8844847,120.0498301,119.9546999,120.0498301,119.5719139,119.8867497,119.7848245,81.41195477,120.00906,119.9456399,119.9682899,119.6919592,119.7689694,120.0679502,120.1109853,119.6398641,118.5825125
,130.2579281,130.0105708,130.2727273,130.3192389,130.5539112,130.564482,130.4207188,130.3657505,130.3572939,129.9556025,130.3530655,130.3657505,130.012685,130.1247357,130.2367865,130.4312896,130.422833,130.2642706,129.8541226,130.2093023,130.448203,88.08774584,130.3678647,130.3213531,130.1374207,129.9323467,130.0613108,130.6384778,130.5010571,130.1183932,128.8655746
,143.8700787,143.6535433,143.6259843,143.7933071,143.7972441,143.9783465,143.5295276,143.8090551,143.6850394,143.5944882,143.8562992,143.6377953,143.5531496,143.2007874,143.4901575,144.0551181,143.7066929,143.6161417,143.2637795,143.6909449,143.7283465,95.03271693,143.9074803,143.7165354,143.4665354,143.4448819,143.3740157,143.9744094,143.8287402,143.4625984,142.0447914
,156.095151,156.0054895,155.9524245,156.2781336,156.1189387,156.1921317,156.3019213,156.2342177,156.1225984,156.1738335,156.21043,155.9524245,156.0402562,155.3870082,156.2470265,156.4062214,156.1591949,155.9908509,155.7328454,156.0750229,156.1335773,103.1824234,156.2543458,156.0182983,155.5846295,155.8554437,155.8371455,156.4684355,156.3531565,156.1427264,154.3168768
,172.1589744,171.817094,171.5487179,172.1179487,172.1401709,171.9470085,171.9401709,172.2940171,171.8273504,171.9452991,171.6205128,171.6068376,171.8051282,171.4786325,171.7760684,171.9247863,172.1589744,171.7555556,171.4820513,171.7880342,171.7111111,111.0037547,171.7538462,171.7538462,171.3299145,171.6273504,171.6034188,172.0205128,171.9846154,172.0136752,169.797846
,187.4178628,186.9314195,186.5980861,187.1020734,187.3014354,186.9393939,186.9457735,187.2296651,186.9792663,186.8867624,186.7607656,186.861244,186.6634769,186.692185,186.8692185,186.861244,187.1770335,186.8787879,186.5374801,186.9856459,186.7942584,120.6871311,186.8405104,186.8644338,186.8261563,187.0223285,186.3811802,187.2105263,187.0191388,187.1132376,184.7125907
,205.2847584,204.8178439,204.5457249,205.0914498,205.3040892,204.9159851,204.9620818,205.0379182,204.8579926,204.7226766,204.6542751,204.4565056,204.4505576,204.7449814,204.5680297,204.6230483,204.9977695,204.5531599,204.2319703,204.9635688,204.7717472,129.9422863,204.5442379,204.8907063,204.7866171,204.9085502,204.4966543,205.332342,204.7628253,205.1330855,202.3117813
