[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,17.2952381,17.16190476,17.80952381,17.44761905,17.48571429,17.54285714,17.6,17.46666667,17.06666667,17.2,17.16190476,18.15238095,17.44761905,17.58095238,17.35238095,17.86666667,17.42857143,17.92380952,17.52380952,17.40952381,17.54285714,17.65714286,17.44761905,17.79047619,18.26666667,17.84761905,17.92380952,18.05714286,17.04761905,17.18095238,17.55619048
,19.04201681,19.00840336,19.6302521,19.15966387,19.29411765,19.31092437,19.49579832,19.1092437,18.94117647,18.85714286,18.95798319,19.96638655,19.32773109,19.34453782,19.27731092,19.56302521,19.54621849,19.74789916,19.51260504,19.14285714,19.15966387,19.64705882,19.2605042,19.52941176,19.68067227,19.4789916,19.56302521,19.6302521,18.7394958,19.12605042,19.33501401
,20.61654135,20.76691729,21.33834586,20.61654135,20.82706767,20.58646617,20.70676692,20.93233083,20.60150376,20.45112782,20.60150376,20.90225564,20.82706767,20.85714286,20.93233083,20.85714286,20.97744361,21.20300752,21.02255639,20.70676692,20.78195489,21.23308271,20.76691729,20.63157895,21.06766917,21.27819549,21.14285714,21.08270677,20.2556391,20.61654135,20.839599
,21.9047619,22.43537415,22.6122449,22.27210884,22.34013605,22.14965986,22.21768707,22.82993197,22.38095238,22,22.16326531,22.53061224,22.21768707,22.20408163,22.50340136,22.40816327,22.2585034,22.6122449,22.57142857,22.36734694,22.40816327,22.36734694,22.43537415,22.34013605,22.31292517,22.80272109,22.68027211,22.3537415,22.01360544,22.02721088,22.35736961
,23.42857143,23.66459627,23.71428571,23.49068323,23.50310559,23.49068323,23.54037267,24.11180124,23.60248447,23.49068323,23.49068323,23.59006211,23.27950311,23.42857143,23.63975155,23.66459627,23.44099379,23.86335404,23.71428571,23.71428571,23.71428571,23.45341615,23.71428571,23.65217391,23.61490683,24.27329193,23.59006211,23.50310559,23.18012422,23.25465839,23.59378882
,24.8,24.73142857,24.97142857,24.86857143,24.78857143,24.94857143,24.86857143,25.38285714,25.00571429,24.8,25.12,25.13142857,24.69714286,24.78857143,25.05142857,25.01714286,24.60571429,25.07428571,24.91428571,24.97142857,25.05142857,24.92571429,24.93714286,24.84571429,24.78857143,25.49714286,24.98285714,24.96,24.62857143,24.74285714,24.92990476
,25.85185185,25.91534392,25.92592593,26.16931217,25.78835979,25.96825397,25.77777778,26.15873016,26.12698413,25.58730159,26.21164021,25.83068783,25.88359788,25.91534392,26.12698413,25.96825397,25.78835979,26.15873016,26.08465608,26.02116402,25.92592593,26.07407407,25.96825397,25.84126984,26.03174603,26.2962963,25.96825397,25.80952381,25.66137566,25.84126984,25.95590829
,27.02463054,27.24137931,27.12315271,27.42857143,27.03448276,27.33990148,26.98522167,27.25123153,27.29064039,26.99507389,27.37931034,27.16256158,27.24137931,27.11330049,27.20197044,27.31034483,27.07389163,27.21182266,27.35960591,27.01477833,27.29064039,27.38916256,27.32019704,26.98522167,27.35960591,27.44827586,27.33004926,26.96551724,26.90640394,27.26108374,27.20131363
,28.61607143,28.52678571,28.625,28.84821429,28.38392857,28.91071429,28.44642857,28.58035714,28.64285714,28.66964286,28.77678571,28.83928571,28.69642857,28.57142857,28.61607143,28.60714286,28.40178571,28.75892857,28.97321429,28.375,28.83035714,28.90178571,28.83928571,28.74107143,28.77678571,29.02678571,28.72321429,28.30357143,28.4375,28.58035714,28.66755952
,29.9755102,29.95918367,29.91020408,30.05714286,29.87755102,29.95102041,29.68163265,29.86122449,29.85306122,30.04897959,29.84489796,29.95102041,29.85306122,29.77142857,29.80408163,29.85306122,29.59183673,29.94285714,30.07346939,29.71428571,30.10612245,30.04081633,30.00816327,29.77142857,29.9755102,30.0244898,29.82040816,29.3877551,29.70612245,29.87755102,29.87646259
